"state","puma12","cd118","stab","PUMA12name","pop20","afact"
"State code","PUMA (2012)","Congressional district code (118th Congress)","State abbr.","PUMA12 name","Total population (2020 Census)","puma12-to-cd118 allocation factor"
"01","00100","04","AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",140103,0.7369 
"01","00100","05","AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",50031,0.2631 
"01","00200","05","AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",212046,1 
"01","00301","05","AL","Huntsville (North) & Madison (East) Cities",136356,1 
"01","00302","05","AL","Huntsville City (Central & South)",105621,1 
"01","00400","04","AL","DeKalb & Jackson Counties",71608,0.5766 
"01","00400","05","AL","DeKalb & Jackson Counties",52579,0.4234 
"01","00500","04","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",97612,0.7214 
"01","00500","05","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",37700,0.2786 
"01","00600","04","AL","Morgan & Lawrence Counties--Decatur City",33073,0.2113 
"01","00600","05","AL","Morgan & Lawrence Counties--Decatur City",123421,0.7887 
"01","00700","04","AL","Cullman & Winston Counties",111406,1 
"01","00800","03","AL","St. Clair & Blount Counties",91103,0.6042 
"01","00800","06","AL","St. Clair & Blount Counties",59679,0.3958 
"01","00900","04","AL","Etowah County",103436,1 
"01","01000","03","AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",158379,1 
"01","01100","03","AL","Calhoun County",116441,1 
"01","01200","06","AL","Shelby County",224177,0.9983 
"01","01200","07","AL","Shelby County",389,0.0017 
"01","01301","07","AL","Birmingham City (West)",87721,1 
"01","01302","06","AL","Birmingham City (East)",41916,0.4184 
"01","01302","07","AL","Birmingham City (East)",58261,0.5816 
"01","01303","06","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",154434,0.8421 
"01","01303","07","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",28966,0.1579 
"01","01304","06","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",173180,0.9437 
"01","01304","07","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",10331,0.0563 
"01","01305","06","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",9466,0.0803 
"01","01305","07","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",108359,0.9197 
"01","01400","04","AL","Walker, Marion (South & West), Fayette & Lamar Counties",117746,1 
"01","01500","04","AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",38093,0.3041 
"01","01500","07","AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",87161,0.6959 
"01","01600","04","AL","Tuscaloosa & Northport (Southeast) Cities",4677,0.0387 
"01","01600","07","AL","Tuscaloosa & Northport (Southeast) Cities",116228,0.9613 
"01","01700","06","AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22293,0.1806 
"01","01700","07","AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",101156,0.8194 
"01","01800","03","AL","Chilton, Tallapoosa, Chambers & Coosa Counties",98875,0.752 
"01","01800","06","AL","Chilton, Tallapoosa, Chambers & Coosa Counties",32609,0.248 
"01","01900","03","AL","Lee County--Auburn City",174241,1 
"01","02000","02","AL","Montgomery City & Pike Road Town (North)",138980,0.7072 
