Series ID,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018,Annual 2019,Annual 2020,Annual 2021,Annual 2022
ENU01000105722511,59148,60054,61384,62465,64711,65743,65925,66598,66911,53695,59138,62030(P)
ENU02000105722511,8283,8549,8779,9054,9251,9434,9239,9325,9303,6706,7823,8526(P)
ENU04000105722511,86618,88044,90528,93107,97276,100140,102297,104005,103878,80850,95649,104947(P)
ENU05000105722511,34080,35179,35868,36812,37649,39074,38736,38610,39161,31722,36037,37952(P)
ENU06000105722511,523518,553157,580314,602516,620732,639511,648826,654746,655957,434671,506307,601339(P)
ENU08000105722511,95544,98289,101786,104971,109679,112952,113898,115099,115075,84411,98081,108212(P)
ENU09000105722511,51998,53208,53947,55309,55733,57129,57938,58282,58057,41224,49525,54941(P)
ENU10000105722511,16689,17124,17991,19005,19336,19557,20268,20866,21036,15561,18667,20461(P)
ENU11000105722511,21260,22840,24399,25671,27695,27588,28318,29429,29694,16494,19299,26360(P)
ENU12000105722511,336218,353282,368758,384963,403272,415831,421079,431691,438616,348443,403348,432883(P)
ENU13000105722511,141840,146984,151122,156104,164021,169217,171402,172391,173179,137349,153451,164758(P)
ENU15000105722511,29386,31913,33243,34151,34897,36541,38455,37955,38534,21920,27745,31844(P)
ENU16000105722511,20082,20242,21288,22082,23028,23865,24383,24943,25504,21864,24543,25435(P)
ENU17000105722511,185400,185964,189201,191589,199597,205472,210409,210463,207383,143259,160126,183324(P)
ENU18000105722511,95769,98436,99721,101799,105234,106285,107150,107621,107892,86651,94248,100700(P)
ENU19000105722511,44183,44906,45049,45229,45809,46073,45972,45628,45115,35621,39220,41785(P)
ENU20000105722511,40106,41430,41993,42601,43801,43754,43875,44551,44920,36122,40753,43455(P)
ENU21000105722511,59741,61601,63163,63991,65558,67827,68105,67165,66692,50452,57827,62674(P)
ENU22000105722511,61776,64483,66700,69254,70883,72649,73027,75315,75758,58540,65725,68702(P)
ENU23000105722511,22804,22916,23352,23410,23856,24197,24783,25301,25663,17631,20739,22522(P)
ENU24000105722511,81338,84818,87256,89542,91644,92651,92824,92138,91757,64273,73704,80153(P)
ENU25000105722511,120717,124873,127180,130727,133213,137590,141379,143267,142531,92268,108980,128279(P)
ENU26000105722511,130611,134305,137314,140504,144392,147625,147759,146816,146238,101305,115013,132393(P)
ENU27000105722511,80746,84208,85623,87271,89493,91149,91641,91427,91323,63101,74595,84611(P)
ENU28000105722511,28134,29468,30097,31084,32813,33269,33470,34135,34687,29021,33289,35081(P)
ENU29000105722511,95337,96959,98166,99129,100194,101752,102236,102660,102838,81742,90486,97046(P)
ENU30000105722511,16836,17491,18280,18448,19313,19585,19672,19691,19755,16673,18805,19808(P)
ENU31000105722511,26773,27899,28777,28589,28766,29028,28887,28408,28648,22352,24338,25731(P)
ENU32000105722511,48261,49388,52117,54858,58241,60264,61459,61869,63531,46477,57002,65912(P)
ENU33000105722511,23655,24364,25079,25438,26696,27343,27824,28146,28286,21401,24457,26624(P)
ENU34000105722511,103302,107026,111871,115572,117676,121712,123873,125432,127280,87837,105511,121561(P)
ENU35000105722511,29377,29469,30067,31200,31641,32063,31832,32259,32451,23194,25618,29035(P)
ENU36000105722511,279577,292461,307122,320044,331669,335845,345950,343106,335997,206666,246398,296908(P)
ENU37000105722511,139511,145675,149622,153145,158990,164729,168106,171662,174780,135960,155935,168979(P)
ENU38000105722511,11769,12659,12723,12766,12591,12055,12194,12155,12215,9880,10775,11323(P)
ENU39000105722511,173202,177789,182993,185117,190158,193983,195311,194809,194457,148545,165174,177214(P)
ENU40000105722511,51129,52904,54446,56135,57286,58385,59566,61576,62891,53416,58822,61652(P)
ENU41000105722511,59352,60696,62365,64879,67429,69394,71207,71961,71896,49761,54880,63339(P)
ENU42000105722511,177945,183665,184791,186514,189559,192990,195640,197025,198345,135864,157001,178000(P)
ENU44000105722511,19121,19676,20157,20840,21469,21857,22201,22553,22560,16186,19344,21863(P)
ENU45000105722511,73868,77380,79831,83332,86806,90003,92661,96717,97480,78782,88105,94872(P)
ENU46000105722511,12899,13050,12972,13103,12689,12979,13059,12924,12829,10639,12135,12608(P)
ENU47000105722511,101293,105360,108294,111047,111690,114699,118118,121143,123333,99263,109504,118145(P)
ENU48000105722511,381972,396544,413493,427238,442857,456423,458280,469150,478867,385081,439665,476258(P)
ENU49000105722511,32075,33605,34707,35364,36265,36804,37270,37857,37839,30842,34504,37553(P)
ENU50000105722511,10215,10502,10619,10829,11019,10961,11089,11216,11133,7352,8496,9438(P)
ENU51000105722511,127907,130451,132591,135448,141365,145486,146827,147579,146423,107949,124405,135878(P)
ENU53000105722511,89914,91697,94799,98209,103302,106243,108277,111694,112105,77442,87285,104116(P)
ENU54000105722511,21904,22659,22988,22787,23171,23649,23430,23715,23245,17689,20416,21611(P)
ENU55000105722511,86561,87927,89834,90117,92711,93949,94339,94621,93313,70450,77821,82339(P)
ENU56000105722511,9232,9526,9704,10011,10211,9862,10097,10135,10270,9054,9975,10186(P)
