Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1947,1,N.A.
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1947,1,9.406
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1947,1,3.296
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1947,1,6.11
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1947,1,N.A.
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1947,1,2.141
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1947,1,3.033
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1947,1,17.574
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1947,1,88.47
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1947,1,74.17
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1947,1,1.324
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1947,1,0.976
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1947,1,0.349
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1947,1,0.735
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1947,1,12.24
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1947,1,N.A.
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1947,1,4.877
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1947,1,1.567
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1947,1,3.31
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1947,1,N.A.
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1947,1,1.754
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1947,1,1.533
"Total economy","All workers",Farm,Employment,"Millions of jobs",1947,1,9.538
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1947,1,43.376
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1947,1,36.455
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1947,1,0.727
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1947,1,0.543
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1947,1,0.184
